timestamp,packet_size,src_mac,dst_mac,ethertype
1112701135.915919,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.916479,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.917912,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.918480,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.919945,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.920481,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.921912,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.922487,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.923910,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.924483,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.925911,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.926483,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.927912,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.928491,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.929930,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.930485,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.931910,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.932487,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.933910,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.934488,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.935908,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.936489,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.937919,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.938490,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.939927,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.940490,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.941908,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.942501,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.943909,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.944492,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.945909,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.946488,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.947906,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.948495,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.949926,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.950497,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.951908,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.952497,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.953914,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.954498,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.955907,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.956498,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.957907,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.958500,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.959922,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.960503,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.961908,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.962501,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.963914,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.964502,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.965904,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.966507,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.967908,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.968504,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.969934,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.970505,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.971905,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
1112701135.972501,60,08:00:06:6b:f6:23,08:00:06:6b:8b:fb,0x8892
1112701135.973907,60,08:00:06:6b:8b:fb,08:00:06:6b:f6:23,0x8892
